post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
EH47,0,0,1,5,0,1,8,0,1,0,0,40,0,0,0,0,0,2,1,3,0
EH48,4,4,3,6,0,2,9,1,1,0,4,83,0,0,0,0,0,4,2,2,0
EH49,2,0,1,3,0,1,4,3,2,0,1,14,0,0,0,0,1,1,1,0,1
EH5,0,0,0,2,0,1,3,1,0,0,1,25,0,0,0,0,0,1,0,1,0
EH51,1,0,0,0,0,1,2,2,2,0,0,21,0,0,0,0,0,2,0,1,0
EH52,0,0,0,2,0,0,3,4,0,0,0,22,0,0,0,0,0,1,1,1,0
EH53,2,1,0,3,0,2,1,1,0,0,0,17,0,0,0,0,0,1,1,0,0
EH54,1,1,0,5,0,4,8,5,1,0,1,97,0,2,0,1,0,3,1,5,0
EH55,0,0,0,2,0,2,3,0,0,0,0,11,0,0,0,0,0,2,0,1,0
EH6,1,0,2,3,0,3,6,3,0,1,1,39,0,0,0,0,0,2,0,1,0
EH7,4,1,0,2,1,5,8,1,1,0,1,38,0,0,0,0,0,1,1,2,0
EH8,4,0,2,3,0,4,2,3,2,1,0,29,0,0,0,0,1,2,1,2,0
EH9,0,0,1,1,0,1,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0
EN1,6,0,3,9,0,3,3,3,1,0,1,47,0,0,0,0,0,18,3,2,0
EN10,3,1,1,0,0,2,0,1,0,0,1,15,0,0,0,0,0,10,0,0,0
EN11,4,2,3,1,0,1,2,0,0,1,1,22,0,0,0,0,0,16,1,1,0
EN2,10,2,5,4,1,4,7,4,1,1,3,50,0,0,1,1,1,28,1,10,0
EN3,7,0,1,4,0,5,2,3,0,1,0,43,0,1,1,0,0,19,1,1,0
EN4,6,0,2,8,1,2,1,3,0,0,1,22,0,0,0,1,1,9,0,6,2
EN5,9,1,1,3,1,3,4,3,1,0,3,35,0,0,1,0,0,10,1,7,0
EN6,8,0,3,3,0,2,5,5,1,1,2,36,0,0,0,0,0,14,2,2,0
EN7,3,0,3,6,0,3,1,1,0,0,1,33,0,0,0,0,0,11,1,6,0
EN8,12,0,5,5,0,2,7,4,2,0,4,48,0,0,0,0,0,14,2,8,0
EN9,6,0,0,1,0,1,4,1,0,0,0,21,0,0,0,0,0,18,1,7,0
EX1,0,0,1,2,0,5,2,4,0,0,1,16,1,0,0,0,0,0,1,0,0
EX10,0,0,1,0,0,3,1,0,0,0,0,13,0,0,0,0,0,3,0,3,0
EX11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
EX12,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0
EX13,1,0,0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0
EX14,1,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,1,1,0
EX15,0,0,1,2,1,0,1,2,0,0,3,9,0,1,0,0,0,3,0,1,0
EX16,2,0,1,1,0,2,3,1,0,0,1,20,0,0,0,0,0,1,0,1,0
EX17,1,0,0,1,0,2,4,2,1,0,0,9,0,0,0,0,0,1,1,0,0
EX18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
EX19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX2,2,3,2,4,0,5,6,6,3,0,0,51,0,0,0,0,1,6,1,2,0
EX20,1,0,0,1,0,2,3,1,0,1,1,17,0,0,0,0,0,0,0,0,0
EX21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
EX22,0,1,0,0,0,0,1,2,0,1,2,7,0,0,0,0,0,1,1,3,0
EX23,1,0,0,2,0,0,0,2,0,0,2,18,0,0,0,0,0,2,1,1,0
EX24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
EX3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
EX31,3,0,0,3,0,5,6,2,0,0,3,16,1,1,0,0,0,4,0,1,0
EX32,1,1,1,4,0,3,2,4,0,0,2,24,0,0,0,0,0,3,1,5,0
EX33,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
EX34,1,0,1,1,0,4,1,0,0,0,0,12,0,0,0,0,0,2,1,2,0
EX35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX36,1,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0
EX37,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
EX38,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
EX39,2,0,2,2,0,2,1,1,1,0,1,19,0,0,0,0,0,0,0,0,0
EX4,4,0,4,5,1,8,4,5,1,0,3,69,0,0,0,1,1,7,2,3,1
EX5,1,0,1,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
EX6,0,0,1,1,0,3,2,1,0,0,0,20,0,1,1,0,0,3,1,0,0
EX7,0,0,1,2,0,0,1,1,0,0,0,8,0,1,0,0,0,2,0,2,0
EX8,2,2,1,1,0,2,0,1,0,0,1,27,0,0,0,0,1,4,1,2,1
EX9,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
FK1,0,1,1,4,0,0,2,2,1,0,0,36,0,0,0,0,0,2,2,2,0
FK10,0,0,0,2,0,1,7,0,0,0,2,43,0,0,0,0,0,0,0,1,0
FK11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK12,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
